size,horizon,delta,algorithm,trial,objective,risk,time_s,n,iterations,complete,constrained_pomdp_commit,raostar_commit
5,3,0.3,RAO*,13,8.241031249999999,0.18432793332202302,0.03327159595210105,175,15,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.3,DARP-HILP,14,8.155624999999999,0.144375,0.04558094602543861,172,9,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.3,RAO*,14,8.241031249999999,0.18432793332202302,0.03224347694776952,175,15,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.3,DARP-HILP,15,8.155624999999999,0.144375,0.04740076302550733,172,9,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.3,RAO*,15,8.241031249999999,0.18432793332202302,0.03348895302042365,175,15,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.3,DARP-HILP,16,8.155624999999999,0.144375,0.038171730004251,172,9,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.3,RAO*,16,8.241031249999999,0.18432793332202302,0.02771085803397,175,15,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.3,DARP-HILP,17,8.155624999999999,0.144375,0.037870252039283514,172,9,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.3,RAO*,17,8.241031249999999,0.18432793332202302,0.02820565307047218,175,15,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.3,DARP-HILP,18,8.155624999999999,0.144375,0.03817740909289569,172,9,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.3,RAO*,18,8.241031249999999,0.18432793332202302,0.02817679801955819,175,15,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.3,DARP-HILP,19,8.155624999999999,0.144375,0.038112091016955674,172,9,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.3,RAO*,19,8.241031249999999,0.18432793332202302,0.02795657597016543,175,15,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.3,DARP-HILP,20,8.155624999999999,0.144375,0.03892460197675973,172,9,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.3,RAO*,20,8.241031249999999,0.18432793332202302,0.02919682499486953,175,15,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.3,DARP-HILP,21,8.155624999999999,0.144375,0.03990828897804022,172,9,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.3,RAO*,21,8.241031249999999,0.18432793332202302,0.034045484964735806,175,15,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.3,DARP-HILP,22,8.155624999999999,0.144375,0.0397362329531461,172,9,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.3,RAO*,22,8.241031249999999,0.18432793332202302,0.0297479439759627,175,15,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.3,DARP-HILP,23,8.155624999999999,0.144375,0.04138612106908113,172,9,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.3,RAO*,23,8.241031249999999,0.18432793332202302,0.028644329984672368,175,15,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
